
ádfasdf	ádfasdfasdf
right	n. /rait/ thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, tốt, bên phải
rightly	đúng, phải, có lý
ring	/riɳ/ chiếc nhẫn, đeo nhẫn cho ai
rise	/raiz/ sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc (mặt trời), thành đạt
risk	/risk/ sự liều, mạo hiểm; liều
rival	/raivl/ đối thủ, địch thủ; đối địch, cạnh tranh
river	sông
road	con đường, đường phố
rob	cướp, lấy trộm
rock	đá
role	vai (diễn), vai trò
roll	/'roul/ cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn
romantic	lãng mạn
roof	mái nhà, nóc
room	phòng, buồng
root	gốc, rễ
rope	dây cáp, dây thừng, xâu, chuỗi
rough	gồ ghề, lởm chởm
roughly	gồ ghề, lởm chởm
round	prep., n. /raund/ tròn, vòng quanh, xung quanh
rounded	bị làm thành tròn; phát triển đầy đủ
route	đường đi, lộ trình, tuyến đường
routine	/ru:'ti:n/ thói thường, lệ thường, thủ tục; thường lệ, thông thường
row	n. /rou/ hàng, dãy
royal	(thuộc) vua, nữ hoàng, hoàng gia
rub	cọ xát, xoa bóp, nghiền, tán
rubber	cao su
rubbish	BrE) /ˈrʌbɪʃ/ vật vô giá trị, bỏ đi, rác rưởi
rude	bất lịch sự, thô lỗ; thô sơ, đơn giản
rudely	bất lịch sự, thô lỗ; thô sơ, đơn giản
ruin	/ru:in/ làm hỏng, làm đổ nát, làm phá sản; sự hỏng, sự đổ nát, sự phá sản
ruined	bị hỏng, bị đổ nát, bị phá sản
rule	/ru:l/ quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển
ruler	người cai trị, người trị vì; thước kẻ
rumour	tin đồn, lời đồn
run	/rʌn/ chạy; sự chạy
runner	người chạy
running	sự chạy, cuộc chạy đua
rural	(thuộc) nông thôn, vùng nông thôn
rush	/rʌ∫/ xông lên, lao vào, xô đẩy; sự xông lên, sự lao vào, sự xô đẩy
sack	/sæk/ bào tải; đóng bao, bỏ vào bao
sad	buồn, buồn bã
sadly	một cách buồn bã, đáng buồn là, không may mà
sadness	sự buồn rầu, sự buồn bã
safe	an toàn, chắc chắn, đáng tin
safely	an toàn, chắc chắn, đáng tin
safety	sự an toàn, sự chắc chăn
sail	/seil/ đi tàu, thuyền, nhổ neo; buồm, cánh buồm, chuyến đi bằng thuyền buồm
sailing	sự đi thuyền
sailor	thủy thủ
salad	sa lát (xà lách trộng dầu dấm); rau sống
salary	 tiền lương
sale	việc bán hàng
salt	muối
salty	chứ vị muối, có muối, mặn
same	/seim/ đều đều, đơn điệu; cũng như thế, vẫn cái đó
sample	mẫu, hàng mẫu
sand	cát
satisfaction	sự làm cho thỏa mãn, toại nguyện; sự trả nợ, bồi thường
satisfied	cảm thấy hài lòng, vừa ý, thoả mãn
satisfy	làm thỏa mãn, hài lòng; trả (nợ), chuộc tội
satisfying	đem lại sự thỏa mãn, làm thỏa mãn, làm vừa ý
saturday	Sat.) /'sætədi/ thứ 7
sauce	nước xốt, nước chấm
save	cứu, lưu
saving	sự cứu, sự tiết kiệm
say	nói
scale	vảy (cá..)
scare	/skɛə/ làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng
scared	bị hoảng sợ, bị sợ hãi
scene	cảnh, phong cảnh
schedule	/´ʃkedju:l/ kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch
scheme	sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ
school	đàn cá, bầy cá
science	khoa học, khoa học tự nhiên
scientific	(thuộc) khoa học, có tính khoa học
scientist	nhà khoa học
scissors	cái kéo
score	/skɔ:/ điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm
scratch	/skrætʃ/ cào, làm xước da; sự cào, sự trầy xước da
scream	/skri:m/ gào thét, kêu lên; tiếng thét, tiếng kêu to
screen	màn che, màn ảnh, màn hình; phim ảnh nói chung
screw	/skru:/ đinh vít, đinh ốc; bắt vít, bắt ốc
sea	biển
seal	/si:l/ hải cẩu; săn hải cẩu
search	/sə:t∫/ sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra
season	mùa
seat	ghế, chỗ ngồi
second	number, adv., n. /ˈsɛkənd/ thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì
secondary	trung học, thứ yếu
secret	/'si:krit/ bí mật; điều bí mật
secretary	thư ký
secretly	bí mật, riêng tư
section	mục, phần
sector	khu vực, lĩnh vực
secure	/si'kjuə/ chắc chắn, đảm bảo; bảo đảm, giữ an ninh
security	sự an toàn, sự an ninh
see	nhìn, nhìn thấy, quan sát
seed	hạt, hạt giống
seek	tìm, tìm kiếm, theo đuổi
seem	/si:m/ có vẻ như, dường như
select	chọn lựa, chọn lọc
selection	sự lựa chọn, sự chọc lọc
self	bản thân mình
self-	form
sell	bán
senate	thượng nghi viện, ban giám hiệu
senator	thượng nghị sĩ
send	gửi, phái đi
senior	/'si:niə/ nhiều tuổi hơn, dành cho trẻ em trên 11t; người lớn tuổi hơn, sinh viên năm cuối trường trung học, cao đẳng
sense	giác quan, tri giác, cảm giác
sensible	có óc xét đoán; hiểu, nhận biết được
sensitive	dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
sentence	câu
separate	/'seprət/ khác nhau, riêng biệt; làm rời, tách ra, chia tay
separated	ly thân
separately	không cùng nhau, thành người riêng, vật riêng
separation	sự chia cắt, phân ly, sự chia tay, ly thân
september	Sept.) /sep´tembə/ tháng 9
series	loạt, dãy, chuỗi
serious	đứng đắn, nghiêm trang
seriously	đứng đắn, nghiêm trang
servant	 người hầu, đầy tớ
serve	phục vụ, phụng sự
service	sự phục vụ, sự hầu hạ
session	buổi họp, phiên họp, buổi, phiên
set	đốt cháy cái gì
set	/set/ bộ, bọn, đám, lũ; đặt để, bố trí
settle	giải quyết, dàn xếp, hòa giải, đặt, bố trí
several	/'sevrəl/ vài
severe	khắt khe, gay gắt (thái độ, cư xử); giản dị, mộc mạc (kiểu cách, trang phục, dung nhan)
severely	khắt khe, gay gắt (thái độ, cư xử); giản dị, mộc mạc (kiểu cách, trang phục, dung nhan)
sew	may, khâu
sewing	sự khâu, sự may vá
sex	giới, giống
sexual	giới tính, các vấn đề sinh lý
sexually	giới tính, các vấn đề sinh lý
shade	bóng, bóng tối
shadow	 bóng, bóng tối, bóng râm, bóng mát
shake	/ʃeik/ rung, lắc, giũ; sự rung, sự lắc, sự giũ
shall	/ʃæl/ dự đoán tương lai: sẽ
shallow	nông, cạn
shame	sự xấu hổ, thẹn thùng, sự ngượng
shape	/ʃeip/ hình, hình dạng, hình thù
shaped	có hình dáng được chỉ rõ
share	/ʃeə/ đóng góp, tham gia, chia sẻ; phần đóng góp, phần tham gia, phần chia sẻ
sharp	sắc, nhọn, bén
sharply	sắc, nhọn, bén
shave	cạo (râu), bào, đẽo (gỗ)
she	nó, bà ấy, chị ấy, cô ấy...
sheep	 con cừu
sheet	chăn, khăn trải giường; lá, tấm, phiến, tờ
shelf	kệ, ngăn, giá
shell	vỏ, mai; vẻ bề ngoài
shelter	/'ʃeltə/ sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
shift	/ʃift/  đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên
shine	chiếu sáng, tỏa sáng
shiny	sáng chói, bóng
ship	tàu, tàu thủy
shirt	áo sơ mi
shock	/Sok/ sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc
shocked	bị kích động, bị va chạm, bị sốc
shocking	gây ra căm phẫn, tồi tệ, gây kích động
shoe	giày
shoot	vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
shooting	sự bắn, sự phóng đi
shop	/ʃɔp/ cửa hàng; đi mua hầng, đi chợ
shopping	sự mua sắm
short	ngắn, cụt
shortly	trong thời gian ngắn, sớm
shot	đạn, viên đạn
should	/ʃud, ʃəd, ʃd/ nên
shoulder	vai
shout	/ʃaʊt/ hò hét, reo hò; sự la hét, sự hò reo
show	/ʃou/ biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ
shower	vòi hoa sen, sự tắm vòi hoa sen
shursday	Thur., Thurs.) /´θə:zdi/ thứ 5
shut	/ʃʌt/ đóng, khép, đậy; tính khép kín
shy	nhút nhát, e thẹn
sick	ốm, đau, bệnh
side	mặt, mặt phẳng
sideways	/´saidwə:dz/ ngang, từ một bên; sang bên
sight	cảnh đẹp; sự nhìn
sign	/sain/ dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
signal	/'signəl/ dấu hiệu, tín hiệu; ra hiệu, báo hiệu
signature	, ˈsɪgnəˌtʃʊər/ chữ ký
significant	nhiều ý nghĩa, quan trọng
significantly	đáng kể
silence	sự im lặng, sự yên tĩnh
silent	im lặng, yên tĩnh
silk	tơ (t.n+n.tạo), chỉ, lụa
silly	ngớ ngẩn, ngu ngốc, khờ dại
silver	/'silvə/ bạc, đồng bạc; làm bằng bạc, trắng như bạc
similar	giống như, tương tự như
similarly	tương tự, giống nhau
simple	đơn, đơn giản, dễ dàng
simply	một cách dễ dàng, giản dị
since	adv. /sins/ từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy
sincere	thật thà, thẳng thắng, chân thành
sincerely	một cách chân thành
sing	 hát, ca hát
singer	ca sĩ
singing	sự hát, tiếng hát
single	đơn, đơn độc, đơn lẻ
sink	chìm, lún, đắm
sir	xưng hô lịch sự Ngài, Ông
sister	chị, em gái
sit	ngồi
sit	xuống
site	chỗ, vị trí
situation	hoàn cảnh, địa thế, vị trí
size	cỡ
sized	được định cỡ
skilful	skillful) adj. /´skilful/ tài giỏi, khéo tay
skilfully	skillfully) adv. /´skilfulli/ tài giỏi, khéo tay
skill	kỹ năng, kỹ sảo
skilled	có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề
skin	da, vỏ
skirt	váy, đầm
sky	trời, bầu trời
sleep	/sli:p/ ngủ; giấc ngủ
sleeve	tay áo, ống tay
slice	/slais/ miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
slide	trượtc, chuyển động nhẹ, lướt qua
slight	mỏng manh, thon, gầy
slightly	mảnh khảnh, mỏng manh, yếu ớt
slip	trượt, tuột, trôi qua, chạy qua
slope	/sloup/ dốc, đường dốc, độ dốc; nghiêng, dốc
slow	chậm, chậm chạp
slowly	một cách chậm chạp, chậm dần
small	 nhỏ, bé
smart	mạnh, ác liệt
smash	/smæʃ/ đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
smell	/smɛl/ ngửi; sự ngửi, khứu giác
smile	/smail/ cười, mỉm cười; nụ cười, vẻ tươi cười
smoke	/smouk/ khói, hơi thuốc; hút thuốc, bốc khói, hơi
smoking	sự hút thuốc
smooth	nhẵn, trơn, mượt mà
smoothly	một cách êm ả, trôi chảy
snake	con rắn; người nham hiểm, xảo trá
snow	/snou/ tuyết; tuyết rơi
so	/sou/ như vậy, như thế; vì thế, vì vậy, vì thế cho nên
so	để, để cho, để mà
soap	xà phòng
social	có tính xã hội
socially	có tính xã hội
society	 xã hội
sock	tất ngăns, miếng lót giày
soft	mềm, dẻo
softly	một cách mềm dẻo
software	phần mềm (m.tính)
soil	đất trồng; vết bẩn
soldier	lính, quân nhân
solid	/'sɔlid/ rắn; thể rắn, chất rắnh
solution	sự giải quyết, giải pháp
solve	giải, giải thích, giải quyết
some	/sʌm/ or /səm/ một it, một vài
somebody	pron. /'sʌmbədi/ người nào đó
somehow	không biết làm sao, bằng cách này hay cách khác
something	một điều gì đó, một việc gì đó, một cái gì đó
sometimes	thỉnh thoảng, đôi khi
somewhat	đến mức độ nào đó, hơi, một chút
somewhere	nơi nào đó. đâu đó
son	con trai
song	bài hát
soon	sớm, chẳng bao lâu nữa
sore	, soʊr/ đau, nhức
sorry	xin lỗi, lấy làm tiếc, lấy làm buồn
sort	/sɔ:t/ thứ, hạng loại; lựa chọn, sắp xếp, phân loại
soul	tâm hồn, tâm trí, linh hồn
sound	/sound/ âm thanh; nghe
soup	xúp, canh, cháo
sour	chua, có vị giấm
source	nguồn
south	adv. /sauθ/ phương Nam, hướng Nam; ở phía Nam; hướng về phía Nam
southern	thuộc phương Nam
space	khoảng trống, khoảng cách
spare	/speə/ thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
speak	nói
speaker	người nói, người diễn thuyết
special	 đặc biệt, riêng biệt
specialist	chuyên gia, chuyên viên
specially	đặc biệt, riêng biệt
specific	đặc trưng, riêng biệt
specifically	đặc trưng, riêng biệt
speech	 sự nói, khả năng nói, lời nói, cách nói, bài nói
speed	tốc độ, vận tốc
spell	/spel/ đánh vần; sự thu hút, sự quyến rũ, say mê
spelling	sự viết chính tả
spend	tiêu, xài
spice	gia vị
spicy	có gia vị
spider	con nhện
spin	quay, quay tròn
spirit	tinh thần, tâm hồn, linh hồn
spiritual	(thuộc) tinh thần, linh hồn
spite	giận, sự hận thù;  in spite of : mặc dù, bất chấp
split	/split/ chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra
spoil	cướp, cướp đọat
spoken	nói theo 1 cách nào đó
spoon	cái thìa
sport	thể thao
spot	dấu, đốm, vết
spray	/spreɪ/ máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
spread	trải, căng ra, bày ra; truyền bá
spring	mùa xuân
square	/skweə/ vuông, vuông vắn; dạng hình vuông, hình vuông
squeeze	/skwi:z/ ép, vắt, xiết; sự ép, sự vắt, sự xiết
stable	/steibl/ ổn định, bình tĩnh, vững vàng; chuồng ngưa
staff	/ gậy
stage	tầng, bệ
stair	bậc thang
stamp	/stæmp/ tem; dán tem
stand	/stænd/ đứng, sự đứng
stand	đậy
standard	/'stændəd/ tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
star	/stɑ:/ ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
stare	/'steә(r)/ nhìm chằm chằm; sự nhìn chằm chằm
start	/stɑ:t/ bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành
state	v. /steit/ nhà nước, quốc gia, chính quyền; (thuộc) nhà nước, có liên quan đến nhà nước; phát biểu, tuyên bố
statement	sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
station	trạm, điểm, đồn
statue	tượng
status	, ˈstætəs/ tình trạng
stay	/stei/ ở lại, lưu lại; sự ở lại, sự lưu lại
steadily	vững chắc, vững vàng, kiên định
steady	vững chắc, vững vàng, kiến định
steal	ăn cắp, ăn trộm
steam	hơi nước
steel	thép, ngành thép
steep	dốc, dốc đứng
steeply	dốc, cheo leo
steer	lái (tàu, ô tô...)
step	/step/ bước; bước, bước đi
stick	/stick/ đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
stick	đòi, đạt được cái gì
sticky	dính, nhớt
stiff	cứng, cứng rắn, kiên quyết
stiffly	cứng, cứng rắn, kiên quyết
still	/stil/ đứng yên; vẫn, vẫn còn
sting	/stiɳ/ châm, chích, đốt; ngòi, vòi (ong, muỗi), nọc (rắn); sự châm, chích..
stir	khuấy, đảo
stock	kho sự trữ, hàng dự trữ, vốn
stomach	dạ dày
stone	đá
stop	/stɔp/ dừng, ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại
store	/stɔ:/ cửa hàng, kho hàng; tích trữ, cho vào kho
storm	cơn giông, bão
story	chuyện, câu chuyện
stove	bếp lò, lò sưởi
straight	/streɪt/ thẳng, không cong
strain	sự căng thẳng, sự căng
strange	xa lạ, chưa quen
strangely	lạ, xa lạ, chưa quen
stranger	người lạ
strategy	chiến lược
stream	dòng suối
street	phố, đườmg phố
strength	sức mạnh, sức khỏe
stress	sự căng thẳng; căng thẳng, ép, làm căng
stressed	bị căng thẳng, bị ép, bị căng
stretch	căng ra, duỗi ra, kéo dài ra
strict	nghiêm khắc, chặt chẽ,, khắt khe
strictly	 một cách nghiêm khắc
strike	/straik/ đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
striking	nổi bật, gây ấn tượng
string	dây, sợi dây
strip	/strip/ cởi, lột (quần áo); sự cởi quần áo
stripe	sọc, vằn, viền
striped	có sọc, có vằn
stroke	/strouk/  cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
strong	, strɒŋ/ khỏe, mạnh, bền, vững, chắc chắn
strongly	/strɔŋli/ khỏe, chắc chắn
structure	kết cấu, cấu trúc
struggle	/'strʌg(ә)l/ đấu tranh; cuộc đấu tranh, cuộc chiến đấu
student	sinh viên
studio	xưởng phim, trường quay; phòng thu
study	/'stʌdi/ sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff	chất liệu, chất
stupid	, ˈstyupɪd/ ngu ngốc, ngu đần, ngớ ngẩn
style	phong cách, kiểu, mẫu, loại
subject	/ chủ đề, đề tài; chủ ngữ
substance	chất liệu; bản chất; nội dung
substantial	thực tế, đáng kể, quan trọng
substantially	về thực chất, về căn bản
substitute	/´sʌbsti¸tju:t/ người, vật thay thế; thay thế
succeed	nối tiếp, kế tiếp; kế nghiệp, kế vị
success	sự thành công,, sự thành đạt
successful	thành công, thắng lợi, thành đạt
successfully	thành công, thắng lợi, thành đạt
such	/sʌtʃ/ như thế, như vậy, như là
such	nỗi, đến mức
suck	bú, hút; hấp thụ, tiếp thu
sudden	thình lình, đột ngột
suddenly	thình lình, đột ngột
suffer	chịu đựng, chịu thiệt hại, đau khổ
suffering	sự đau đớn, sự đau khổ
sufficient	(+ for) đủ, thích đáng
sufficiently	đủ, thích đáng
sugar	đường
suggest	đề nghị, đề xuất; gợi
suggestion	sự đề nghị, sự đề xuất, sự khêu gợi
suit	/su:t/ bộ com lê, trang phục; thích hợp, quen, hợp với
suitable	hợp, phù hợp, thích hợp với
suitcase	va li
suited	hợp, phù hợp, thích hợp với
sum	tổng, toàn bộ
summary	bản tóm tắt
summer	mùa hè
sun	mặt trời
sunday	Sun.) /´sʌndi/ Chủ nhật
superior	cao, chất lượng cao
supermarket	siêu thị
supply	/sə'plai/ sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
support	/sə´pɔ:t/ sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
supporter	vật chống đỡ; người cổ vũ, người ủng hộ
suppose	cho rằng, tin rằng, nghĩ rằng
sure	/ʃuə/ chắc chắn, xác thực
surely	chắc chắn
surface	mặt, bề mặt
surname	BrE) /ˈsɜrˌneɪm/ họ
surprise	/sə'praiz/ sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ
surprised	ngạc nhiên (+ at)
surprising	làm ngạc nhiên, làm bất ngờ
surprisingly	làm ngạc nhiên, làm bất ngờ
surround	vây quanh, bao quanh
surrounding	sự vây quanh, sự bao quanh
surroundings	vùng xung quanh, môi trường xung quanh
survey	/'sə:vei/ sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
survive	sống lâu hơn, tiếp tục sống, sống sót
suspect	/səs´pekt/ nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspicion	sự nghi ngờ, sự ngờ vực
suspicious	có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow	nuốt, nuốt chửng
swear	chửi rủa, nguyền rủa; thề, hứa
swearing	thề, lời nguyền rủa, lời thề hứa
sweat	/swet/ mồ hôi; đổ mồ hôi
sweater	người ra mồ hôi,, kẻ bóc lột lao động
sweep	 quét
sweet	/swi:t/ ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swell	phồng, sưng lên
swelling	sự sưng lên, sự phồng ra
swim	bơi lội
swimming	sự bơi lội
swimming	bể nước
swing	/swiŋ/ sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
switch	/switʃ/ công tắc, roi; tắt, bật, đánh bằng gậy, roi
switch	ngắt điện
switch	bật điện
swollen	sưng phồng, phình căng
swollen	/´swoulən/ /swel/ phồng lên, sưng lên
symbol	biểu tượng, ký hiệu
sympathetic	đồng cảm, đáng mến, dễ thương
sympathy	sự đồng cảm, sự đồng ý
system	hệ thống, chế độ
table	cái bàn
tablet	tấm, bản, thẻ phiến
tackle	 /'tækl/ or /'teikl/ giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ
tail	đuôi, đoạn cuối
take	hành động
take	 lợi dụng
take	sự giữ gìn
take	chú ý
take	 tham gia (vào)
take	ra, được cử hành, được tổ chức
take	sự cầm nắm, sự lấy
take	cởi, bỏ cái gì, lấy đi cái gì
take	chở, chuyển cái gì; tiếp quản, kế tục cái gì
talk	/tɔ:k/ nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
tall	cao
tank	thùng, két, bể
tap	/tæp/ mở vòi, đóng vồi; vòi, khóa
tape	băng, băng ghi âm; dải, dây
target	bia, mục tiêu, đích
task	nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste	/teist/ vị, vị giác; nếm
tax	/tæks/ thuế; đánh thuế
taxi	xe tắc xi
tea	cây chè, trà, chè
teach	dạy
teacher	 giáo viên
teaching	sự dạy, công việc dạy học
team	đội, nhóm
tear	)v., n. /tiə/ xé, làm rắch; chỗ rách, miếng xe; nước mắt
technical	(thuộc) kỹ thuật, chuyên môn
technique	kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technology	kỹ thuật học, công nghệ học
telephone	n., v. /´telefoun/  máy điện thoại, gọi điện thoại
television	n. /´televiʒn/ vô tuyến truyền hình
tell	nói, nói với
temperature	nhiệt độ
temporarily	tạm
temporary	tạm thời, nhất thời
tend	trông nom, chăm sóc, giữ gìn, hầu hạ
tendency	xu hướng, chiều hướng, khuynh hướng
tension	sự căng, độ căng, tình trạng căng
tent	lều, rạp
term	giới hạn, kỳ hạn, khóa, kỳ học
terrible	khủng khiếp, ghê sợ
terribly	tồi  tệ, không chịu nổi
test	/test/ bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm
text	nguyên văn, bản văn, chủ đề, đề tì
than	/ðæn/ hơn
thank	cám ơn
thank	n. cảm ơn bạn (ông bà, anh chị...)
thanks	/'θæŋks/ sự cảm ơn, lời cảm ơn
that	conj. /ðæt/ người ấy, đó, vật ấy, đó; rằng, là
the	cái còn lại, những người, cái khác
the	/ði:, ði, ðз/ cái, con, người, ấy này....
the	n.
theatre	theater) n. /ˈθiətər/ rạp hát, nhà hát
their	của chúng, của chúng nó, của họ
theirs	của chúng, của chúng nó, của họ
them	chúng, chúng nó, họ
theme	 đề tài, chủ đề
themselves	tự chúng, tự họ, tự
then	khi đó, lúc đó, tiếp đó
theory	lý thuyết, học thuyết
there	ở nơi đó, tại nơi đó
therefore	bởi vậy, cho nên, vì thế
they	chúng, chúng nó, họ; những cái ấy
thick	dày; đậm
thickly	dày; dày đặc; thành lớp dày
thickness	tính chất dày, độ dày, bề dày
thief	kẻ trộm, kẻ cắp
thin	mỏng, mảnh
thing	cái, đồ, vật
think	nghĩ, suy nghĩ
thinking	sự suy nghĩ, ý nghĩ
thirsty	khát, cảm thấy khát
this	/ðis/ cái này, điều này, việc này
thorough	cẩn thận, kỹ lưỡng
thoroughly	kỹ lưỡng, thấu đáo, triệt để
though	/ðəʊ/ dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
thought	sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
thread	chỉ, sợi chỉ, sợi dây
threat	sự đe dọa, lời đe dọa
threaten	dọa, đe dọa
threatening	sự đe dọa, sự hăm dọa
throat	cổ, cổ họng
through	/θru:/ qua, xuyên qua
throughout	/θru:'aut/ khắp, suốt
throw	ném, vứt, quăng
throw	ném đi, vứt đi, liệng đi
thumb	ngón tay cái
thus	như vậy, như thế, do đó
ticket	vé
tidy	/´taidi/ sạch sẽ, ngăn nắp, gọn gàng; làm cho sạch sẽ, gọn gàng, ngăn nắp
tie	/tai/ buộc, cột, trói; dây buộc, daay trói, dây giày
tie	có quan hệ mật thiết, gắn chặt
tight	/tait/ kín, chặt, chật
tightly	chặc chẽ, sít sao
till	cho đến khi, tới lúc mà
time	thời gian, thì giờ
timetable	BrE) /´taimteibl/ kế hoạch làm việc, thời gian biểu
tin	thiếc
tiny	rất nhỏ, nhỏ xíu
tip	/tip/ đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
tire	NAmE), n. (NAmE) (BrE tyre /'taiз/) /´taiə/ làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
tired	mệt, muốn ngủ, nhàm chán
tiring	sự mệt mỏi, sự mệt nhọc
title	đầu đề, tiêu đề; tước vị, tư cách
to	marker /tu:, tu, tз/ theo hướng, tới
today	/tə'dei/ vào ngày này; hôm nay, ngày nay
toe	ngón chân (người)
together	cùng nhau, cùng với
toilet	nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)
tomato	cà chua
tomorrow	/tə'mɔrou/ vào ngày mai; ngày mai
ton	tấn
tone	tiếng, giọng
tongue	lưỡi
tonight	/tə´nait/ vào đêm nay, vào tối nay; đêm nay, tối nay
tonne	tấn
too	cũng
tool	dụng cụ, đồ dùng
tooth	răng
top	/tɒp/ chóp, đỉnh; đứng đầu, trên hết
topic	đề tài, chủ đề
total	/'toutl/ tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
totally	hoàn toàn
touch	/tʌtʃ/ sờ, mó, tiếp xúc; sự sờ, sự mó, sự tiếp xúc
tough	bền, dai
tour	/tuə/ cuộc đo du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
tourist	khách du lịch
towards	especially in NAmE) prep. /tə´wɔ:dz/ theo hướng, về hướng
towel	khăn tắm, khăn lau
tower	tháp
town	thị trấn, thị xã, thành phố nhỏ
toy	/tɔi/ đồ chơi, đồ trang trí; thể loại đồ chơi
trace	/treis/ phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết, một chút
track	phần của đĩa; đường mòn, đường đua
trade	/treid/ thương mại, buôn bán; buôn bán, trao đổi
trading	sự kinh doanh, việc mua bán
tradition	truyền thống
traditional	theo truyền thống, theo lối cổ
traditionally	(thuộc) truyền thống, là truyền thống
traffic	sự đi lại, sự giao thông, sự chuyển động
train	/trein/ xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
training	sự dạy dỗ, sự huấn luyện, sự đào tạo
transfer	/'trænsfə:/ dời, di chuyển; sự di chuyển, sự dời chỗ
transform	thay đổi, biến đổi
translate	dịch, biên dịch, phiên dịch
translation	sự dịch
transparent	trong suốt; dễ hiểu, sáng sủa
transport	(NAmE transportation) /'trænspɔ:t/ sự vận chuyển, sự vận tải; phương tiện đi lại
transport	NAmE) chuyên chở, vận tải
trap	/træp/ đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại
travel	/'trævl/ đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
traveller	traveler) n. /'trævlə/ người đi, lữ khách
treat	đối xử, đối đãi, cư xử
treatment	sự đối xử, sự cư xử
tree	cây
trend	phương hướng, xu hướng, chiều hướng
trial	sự thử nghiệm, cuộc thử nghiệm
triangle	hình tam giác
trick	/trik/ mưu mẹo, thủ đoạn, trò lừa gatj; lừa, lừa gạt
trip	/trip/ cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
tropical	nhiệt đới
trouble	điều lo lắng, điều muộn phiền
trousers	BrE) /´trauzə:z/ quần
truck	NAmE) /trʌk/ rau quả tươi
true	đúng, thật
truly	đúng sự thật, đích thực, thực sự
trust	/trʌst/ niềm tin, sự phó thác; tin, tin cậy, phó thác
truth	sự thật
try	thử, cố gắng
tube	ống, tuýp
